iter	RMSE
0	6020684.163
1	5664563.717
2	5344138.105
3	5030072.918
4	4729229.133
5	4462893.401
6	4199916.036
7	3950988.327
8	3710854.86
9	3488997.01
10	3285615.79
11	3093787.379
12	2914788.267
13	2738158.53
14	2582879.932
15	2434095.511
16	2294134.811
17	2160295.983
18	2030794.97
19	1916467.452
20	1804024.414
21	1701697.649
22	1608514.131
23	1516384.879
24	1430060.382
25	1347697.197
26	1272273.031
27	1200018.126
28	1130815.205
29	1066313.877
30	1005011.795
31	949975.7012
32	896380.2357
33	845702.6487
34	798513.6043
35	754096.2433
36	712147.541
37	674163.4545
38	638783.0359
39	604661.578
40	573108.8724
41	542769.0242
42	516136.4183
43	489513.7748
44	464797.6859
45	440887.4108
46	418636.2179
47	397479.2646
48	379774.1829
49	362142.9712
50	345525.4076
51	329410.7001
52	314977.3353
53	301841.0548
54	289270.0675
55	278325.0571
56	266679.385
57	256722.5379
58	247299.33
59	238654.8191
60	230793.9137
61	223529.7532
62	216660.504
63	210123.9818
64	204086.33
65	198796.3502
66	194242.4323
67	189563.6684
68	185481.0118
69	180832.2406
70	176414.5651
71	173222.0662
72	170364.7497
73	167867.2081
74	165464.3893
75	162282.7408
76	160298.9626
77	157567.0246
78	155834.2991
79	154420.6748
80	152981.8099
81	151542.0056
82	150315.5996
83	149330.3741
84	147247.3548
85	145587.5351
86	143784.2408
87	142870.1239
88	141661.3438
89	140614.5659
90	139938.4287
91	139229.9407
92	137847.1989
93	137018.482
94	135554.4143
95	135052.5358
96	134384.4688
97	133311.1539
98	132898.8436
99	132449.7438
100	131832.1907
101	131272.7956
102	130350.2096
103	130020.634
104	129146.1074
105	128827.742
106	128405.6721
107	128203.4517
108	127350.2389
109	126906.6911
110	126672.5632
111	126433.5744
112	125892.5555
113	125595.757
114	125199.6924
115	124896.0786
116	124673.2142
117	124108.7617
118	123673.6251
119	123350.6619
120	122705.4638
121	122455.6842
122	122177.7399
123	122013.7585
124	121696.7561
125	121535.6236
126	121385.5263
127	121258.9115
128	121062.4635
129	120677.5
130	120475.5704
131	120283.8985
132	120121.763
133	120006.0995
134	119660.0377
135	119053.2381
136	118953.1183
137	118651.9813
138	118558.8975
139	118040.4451
140	117752.3271
141	117350.7178
142	117281.8416
143	116954.5987
144	116752.0911
145	116596.9595
146	116393.3727
147	116162.8628
148	115890.4839
149	115833.9428
150	115535.2473
151	115411.0996
152	115241.9069
153	114817.094
154	114655.5699
155	114300.6579
156	114157.9034
157	114081.7553
158	113786.5396
159	113428.4188
160	113183.2676
161	112973.4871
162	112554.4901
163	112453.0474
164	112136.3336
165	111776.8934
166	111483.3538
167	111281.7508
168	111142.7913
169	110881.3851
170	110663.0409
171	110561.7467
172	110491.2283
173	110309.5674
174	109923.5233
175	109848.2511
176	109603.0036
177	109313.4816
178	109192.5253
179	108974.5519
180	108837.1508
181	108581.2741
182	108413.4875
183	108069.7038
184	107917.2676
185	107614.5215
186	107526.1915
187	107277.2045
188	107116.8708
189	106861.5262
190	106693.0586
191	106411.6793
192	106113.6761
193	105879.0814
194	105737.3858
195	105495.5762
196	105433.1829
197	105230.1797
198	105086.7043
199	104832.6674
200	104672.1923
201	104618.3771
202	104442.6795
203	104181.4099
204	103970.6629
205	103851.9386
206	103799.6314
207	103659.3688
208	103588.6838
209	103463.5446
210	103247.9234
211	103165.4769
212	103004.9391
213	102810.5199
214	102587.695
215	102541.1477
216	102321.15
217	102266.327
218	101943.5814
219	101833.2618
220	101683.9678
221	101590.5582
222	101396.1667
223	101337.0255
224	101298.4959
225	101265.5894
226	101061.1262
227	100862.6372
228	100831.2233
229	100653.1629
230	100569.4667
231	100234.0827
232	100065.2809
233	99887.30541
234	99826.05916
235	99708.88387
236	99664.57215
237	99525.15871
238	99495.10235
239	99386.60364
240	99205.63102
241	99088.09211
242	98939.48436
243	98796.4633
244	98683.17849
245	98271.88511
246	98048.59939
247	97907.15238
248	97769.72274
249	97743.53421
250	97718.08118
251	97647.77058
252	97579.00005
253	97437.27774
254	97098.9545
255	97052.73465
256	96948.61548
257	96809.01256
258	96745.26111
259	96628.46436
260	96278.13621
261	96114.53646
262	95940.57593
263	95650.64573
264	95541.58349
265	95413.66103
266	95274.17182
267	95185.62212
268	95075.99479
269	94939.25572
270	94776.62455
271	94656.15227
272	94548.07254
273	94526.18362
274	94411.52866
275	94239.44401
276	94148.45203
277	93918.35279
278	93682.56786
279	93609.02352
280	93485.55141
281	93426.94915
282	93347.04133
283	93173.0859
284	93103.34018
285	92994.45681
286	92903.98866
287	92739.87555
288	92661.13172
289	92584.66355
290	92501.46893
291	92399.70306
292	92269.38419
293	92171.45283
294	92085.2483
295	91976.28829
296	91878.02757
297	91795.75069
298	91508.50374
299	91420.81426
300	91197.32555
301	91132.65387
302	91033.03503
303	90927.88987
304	90821.9453
305	90733.47975
306	90467.37181
307	90205.9265
308	90064.78655
309	89907.84063
310	89802.68996
311	89697.71213
312	89558.70049
313	89474.85198
314	89395.95399
315	89335.61563
316	89283.41481
317	89053.89692
318	88907.66152
319	88679.50849
320	88542.63126
321	88452.96874
322	88382.01882
323	88142.98348
324	88047.26248
325	87980.09805
326	87894.17583
327	87688.51068
328	87607.87099
329	87535.40471
330	87400.82818
331	87320.73601
332	87268.92563
333	87036.77629
334	86947.99239
335	86785.61919
336	86638.11688
337	86521.36933
338	86351.7606
339	86191.57988
340	86109.19771
341	86030.46727
342	85960.10119
343	85862.18416
344	85791.23293
345	85736.2872
346	85649.2173
347	85600.41902
348	85526.82835
349	85431.21028
350	85347.4591
351	85114.7679
352	84971.16531
353	84900.42391
354	84773.52734
355	84658.38901
356	84582.43742
357	84443.95704
358	84350.19912
359	84283.9322
360	84216.76083
361	84057.37164
362	83885.33199
363	83828.44388
364	83585.59418
365	83411.12634
366	83347.94796
367	83293.14736
368	83253.2747
369	83126.15582
370	83070.58102
371	82935.30287
372	82855.82503
373	82762.3432
374	82701.38012
375	82594.63322
376	82462.58609
377	82234.25033
378	82136.90768
379	82084.71105
380	81991.35868
381	81809.35934
382	81701.66763
383	81639.13965
384	81589.82896
385	81515.80255
386	81465.93657
387	81435.13839
388	81326.37486
389	81252.45588
390	81154.33705
391	81100.40042
392	81036.47175
393	80897.65043
394	80810.92423
395	80602.07474
396	80516.2133
397	80497.52703
398	80433.74232
399	80270.91538
400	80136.81548
401	80042.38434
402	79857.3439
403	79811.27918
404	79767.38302
405	79735.024
406	79657.66091
407	79508.89924
408	79400.61812
409	79335.34382
410	79228.77223
411	79191.16288
412	79047.92195
413	78993.8931
414	78877.73958
415	78838.24641
416	78758.70287
417	78708.85669
418	78551.33108
419	78389.14557
420	78292.68092
421	78207.28354
422	78085.48708
423	78024.72343
424	77954.34611
425	77874.2698
426	77755.01022
427	77682.49303
428	77556.90603
429	77496.83648
430	77446.95567
431	77382.51953
432	77296.41132
433	77259.21915
434	77201.86359
435	77152.7449
436	77044.82566
437	76940.77511
438	76861.38204
439	76804.68704
440	76736.63896
441	76681.28885
442	76593.11377
443	76522.39245
444	76434.51685
445	76373.42205
446	76326.20902
447	76257.65598
448	76143.12466
449	76101.40797
450	75962.4049
451	75891.10936
452	75765.53713
453	75707.14322
454	75642.45997
455	75597.88829
456	75538.32897
457	75478.50164
458	75433.01162
459	75393.26734
460	75336.74101
461	75243.56974
462	75169.90497
463	75113.49879
464	75023.32459
465	74933.50022
466	74863.16741
467	74806.97
468	74763.09262
469	74704.27175
470	74638.16958
471	74595.86675
472	74543.20969
473	74503.62457
474	74444.78788
475	74369.92058
476	74322.05798
477	74289.06551
478	74236.74994
479	74164.77626
480	74093.35831
481	73995.97485
482	73933.95773
483	73813.74554
484	73731.76835
485	73692.74914
486	73531.63087
487	73470.91396
488	73414.17707
489	73308.26701
490	73179.22812
491	73139.85959
492	73082.15297
493	73042.78262
494	72977.53083
495	72920.04777
496	72794.77748
497	72744.70675
498	72695.00542
499	72602.00786
500	72524.19741
501	72459.17388
502	72416.72292
503	72329.91464
504	72272.28007
505	72241.54261
506	72182.36595
507	72066.59296
508	72009.49735
509	71890.85072
510	71816.10842
511	71757.69203
512	71721.19165
513	71683.17741
514	71580.01799
515	71526.24753
516	71436.12669
517	71375.16074
518	71328.62284
519	71294.36881
520	71247.40429
521	71190.6755
522	71149.86045
523	71071.33496
524	70957.14585
525	70896.96509
526	70846.96059
527	70783.60923
528	70729.13355
529	70676.16241
530	70661.39478
531	70605.10512
532	70549.44234
533	70518.64576
534	70471.68049
535	70440.87413
536	70352.81398
537	70294.03549
538	70248.9326
539	70173.75523
540	70083.88604
541	69998.10991
542	69924.65065
543	69888.3569
544	69777.90117
545	69683.68581
546	69652.88328
547	69629.40061
548	69548.63551
549	69490.57489
550	69445.78157
551	69392.27328
552	69343.51262
553	69223.59399
554	69171.47711
555	69117.93142
556	69017.88625
557	68948.32335
558	68911.12504
559	68816.84096
560	68758.47115
561	68623.7395
562	68580.33054
563	68526.68043
564	68489.59147
565	68436.28793
566	68368.5716
567	68339.45228
568	68269.24342
569	68187.89851
570	68137.77381
571	68102.48266
572	68077.69475
573	68022.92919
574	67972.02849
575	67920.48687
576	67807.68659
577	67744.99154
578	67700.04771
579	67614.95692
580	67530.93328
581	67482.24954
582	67441.94642
583	67391.04766
584	67351.82288
585	67335.07152
586	67269.76934
587	67255.48037
588	67205.63025
589	67162.88559
590	67118.57767
591	67058.5242
592	66972.40765
593	66905.19586
594	66880.25854
595	66825.90795
596	66756.26355
597	66713.92286
598	66658.84717
599	66599.65415
600	66570.49264
601	66541.75942
602	66453.34579
603	66406.64155
604	66381.37853
605	66329.73366
606	66301.59179
607	66255.79125
608	66221.51976
609	66178.03202
610	66129.42507
611	66095.81417
612	66050.60891
613	66011.97734
614	65964.98533
615	65917.59491
616	65856.80172
617	65835.23612
618	65797.31876
619	65785.74487
620	65746.85928
621	65711.059
622	65612.26724
623	65542.93374
624	65499.60634
625	65427.08362
626	65383.31471
627	65319.30146
628	65290.19829
629	65257.73862
630	65215.65899
631	65172.45862
632	65137.58968
633	65102.20956
634	65063.74105
635	64960.97005
636	64911.46267
637	64879.85833
638	64802.14323
639	64765.48616
640	64734.0414
641	64703.2062
642	64662.57943
643	64631.00983
644	64578.96905
645	64533.78194
646	64447.40466
647	64385.68369
648	64292.81254
649	64260.29087
650	64201.39891
651	64175.42401
652	64130.66759
653	64078.05387
654	64071.11893
655	64022.82224
656	63934.25192
657	63842.76725
658	63799.30439
659	63748.08765
660	63713.27514
661	63640.48528
662	63594.27418
663	63525.38316
664	63489.56126
665	63423.83098
666	63388.00125
667	63377.45906
668	63324.78919
669	63285.97042
670	63248.4678
671	63211.51352
672	63136.96783
673	63078.17693
674	63068.40344
675	63058.98182
676	63015.2612
677	62983.58919
678	62942.03544
679	62872.78739
680	62838.71148
681	62818.95558
682	62740.25127
683	62692.40944
684	62659.95632
685	62651.17391
686	62621.93408
687	62562.00607
688	62536.44517
689	62492.81049
690	62435.87453
691	62399.23805
692	62352.32678
693	62315.2521
694	62284.55817
695	62255.84032
696	62213.4134
697	62168.23592
698	62126.83743
699	62080.23819
700	62036.89892
701	61996.03096
702	61950.96494
703	61905.77222
704	61848.71501
705	61782.64457
706	61738.04117
707	61703.00867
708	61671.82126
709	61619.87607
710	61595.85438
711	61560.53366
712	61508.30252
713	61468.28893
714	61442.54083
715	61404.48697
716	61375.6766
717	61334.33691
718	61305.07652
719	61271.26656
720	61194.01435
721	61180.21154
722	61112.97668
723	61047.52368
724	60991.94343
725	60957.77521
726	60918.77932
727	60903.25528
728	60870.70047
729	60854.76055
730	60823.03351
731	60790.75954
732	60727.43567
733	60691.53473
734	60626.66643
735	60586.38585
736	60556.41907
737	60525.47815
738	60505.89673
739	60480.24886
740	60453.93541
741	60388.70157
742	60363.31086
743	60305.55766
744	60260.34577
745	60230.19477
746	60194.16362
747	60123.39659
748	60068.0986
749	60021.41071
750	59982.69782
751	59957.51828
752	59940.2973
753	59932.21938
754	59895.61186
755	59871.00254
756	59797.02957
757	59753.92098
758	59716.43111
759	59676.44391
760	59668.60559
761	59661.02913
762	59620.27066
763	59585.46338
764	59539.49845
765	59507.30191
766	59480.32851
767	59467.55822
768	59399.30026
769	59357.58019
770	59307.50741
771	59236.93681
772	59199.15543
773	59191.21025
774	59095.05538
775	59085.93329
776	59034.8549
777	59013.17401
778	58984.40003
779	58950.06477
780	58918.64984
781	58858.13263
782	58792.9801
783	58736.608
784	58709.11941
785	58686.83545
786	58638.3896
787	58586.40198
788	58559.22189
789	58545.3671
790	58520.8822
791	58466.00373
792	58459.34254
793	58435.26992
794	58400.82941
795	58370.09576
796	58344.43851
797	58306.36149
798	58257.67608
799	58180.3728
800	58116.05644
801	58089.39919
802	58061.45231
803	57993.07198
804	57966.68653
805	57942.33475
806	57895.18321
807	57867.18526
808	57801.12254
809	57747.91196
810	57728.37627
811	57689.99862
812	57667.65838
813	57605.58618
814	57563.89307
815	57540.45847
816	57497.52751
817	57489.82024
818	57411.59313
819	57388.09254
820	57348.52303
821	57323.98165
822	57279.76548
823	57229.54121
824	57189.39685
825	57156.97312
826	57098.81075
827	57048.64655
828	57013.42882
829	56982.14141
830	56951.03559
831	56854.67302
832	56840.48943
833	56790.36319
834	56758.10303
835	56734.43503
836	56691.35898
837	56668.50533
838	56622.33663
839	56570.30646
840	56532.20957
841	56492.39079
842	56464.19365
843	56414.4743
844	56392.13931
845	56341.09724
846	56319.02412
847	56312.54673
848	56292.01709
849	56237.7561
850	56209.27561
851	56156.07444
852	56111.17595
853	56081.41377
854	56065.11848
855	56022.00625
856	56008.04428
857	56002.63044
858	55955.30672
859	55929.17956
860	55871.58571
861	55843.83207
862	55822.42011
863	55804.33432
864	55780.87915
865	55727.13161
866	55721.23631
867	55697.61933
868	55676.18309
869	55622.54442
870	55595.4138
871	55574.54355
872	55538.91371
873	55525.40778
